ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '2 GB', 'Screen Width': 2048, 'Screen Height': 1044, 'Usable Screen Width': 2048, 'Usable Screen Height': 1044, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",1576536230cc6dbe776da3179c193717354d95f1a42d56d9501f4ee87e4329d2,dcddc5ef2f23f14104831e2c22960d9455fc4b5c48b7185f527596b1291267c5,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,28b90f74dda555bdf2c37be7d34676f56373b69b0a29a54bbbe68d92b4e11a41,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'XToUSRQn': '7laVKkSoUKs1DgQQ', 'Chrome PDF Plugin': 'v68mb0DozhYrdWTwBAAIr0asWq0aseXq', 'Chromium doc plug-in': '2fXq89HqdOmyCBnyCJECozZz4k5kx3bN', 'pgvXTwB': 'AfPPmyCBfXyhQQv'}",d7294db9a4a5daae7745ee7cb0e6542170f46f1e342e68306e74ddb8d016df1d,d58c596e77dab128084687c7dbb7d927e03246d2c5b916e013b867e867b5c293
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '4 GB', 'Screen Width': 2055, 'Screen Height': 1045, 'Usable Screen Width': 2055, 'Usable Screen Height': 1045, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",7b072291bb4b51f2da10e15d3ccf5a7344342ac8e507fc6a9deabe5681970c39,54a4a02a517346c34196e5ad18a39374deb8c2382fd802a8d4642095d6beb406,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eac5339a066e571c11e6ae474399c3c177e940928f6158c9b8cd29fde4cd1465,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'hQQvAfXq': 'ZrVxgvXTw3bNtePH', 'Brave com.adobe.pdf extension': 'JjRvAfXq0iRvAnyCBfXq0iRnTRQv268m', 'xg3Ehvf': 'GqdOuf2bVKkSwBA', 'Browser PDF plug-in': 'yCBn6d1a057dt9e2bVSRIMl5cOm6lSoc'}",a755c32a934d3f6a226de9c5790393adb4ce78fdc976e09693e27a8e16a8a163,763fdfe5c67c29bcf74622ba8afe1580dd51d7548c9b3b4b1b2c40825b68c54a
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '1 GB', 'Screen Width': 2051, 'Screen Height': 1049, 'Usable Screen Width': 2051, 'Usable Screen Height': 1049, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",b1b243cb8ac71aa26a871578984ef181aab99c206edc01b427b28a59f6db4fa6,50498860ab5fd57fef9340f5cc026cc704a2ee0eedc33ccb5b45d1a52de02453,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8a23d6621e5b9cdf4510ca43f84801c961da4ff459f491a9dacb12d6e909eb12,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'o3jwYMGq': 'WLFpUSJjZMGqdWLN', 'Chromium com.adobe.pdf plug-in': 'Ks157lSw3j47laNtWq89999999HqVp7G', 'ZrVp78m': 'Xq0aseXyZz4cOuf', 'Web Portable Document Format Plugin': 'qhQIECgYzCJMl5k5cWTw3bNtWyhYrdWL'}",d014f8179b44839e7bc40fa5147896c5bf46ed871257c86c03814a3580b9c6b4,518ddd8afb67db3bcf0195d2a3f81542be2a21303ceeea00480d0f7e0834ead5
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '1 GB', 'Screen Width': 2053, 'Screen Height': 1049, 'Usable Screen Width': 2053, 'Usable Screen Height': 1049, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",01c60bc4a60bd506b31ec0166c38b086777e81202bb679a01eecc07ee636ad39,a2525c80cf72e2546aa96ede437afb5b0870d4eb1a45bdd663f692e8e6e47642,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,9cb9f9ce76ea9735da601b6c1215eefbbda27aa2b60eb6bd6b0d8ccd3ea034d8,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'PDF and PS plug in': 'bVSRIECgYzCBfPHDJEKFpUKs15FKNGqV', '7d1iRvA': 'AAIr89Hiwgvfu2E', 'Chrome document plug in': 'Iv2Eh3Epct15FCgQQvAny4cWToUSRIMl', 'laNl5cOm': 'ZYrVxYMOHLkaNl5k'}",fc7aa134c42bcb17a15e8395e74a7f08d9b9001a3166e709c441b6573873ed15,024fb58b0f25f836bf36d71c913f840dabf660ce29b58c00eca6c98fede2628a
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '2 GB', 'Screen Width': 2056, 'Screen Height': 1045, 'Usable Screen Width': 2056, 'Usable Screen Height': 1045, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",17eac03cc17a833a72d82726bcdb37a43a50d9c0a97ac93a8c239c45020bb10a,871a3d2ffd4684419fe807e89fb56894ffd7133fe8eb561fb443ebd1d264e1db,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8fbad3c18a386578aefabbb561147687ccbeeb4b995da717ead35a789586306e,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Chromium PDF and PS plug in': 'dOuf2bNl5cWLNOHDJMl5cOmy4kxBIr8H', 'CNGqVp7': 'fPPmyCBny4cOmyC', '05FKFpct': 'z4kx3j47laNtePPu', 'JavaScript Portable Document Format ': 'PHDBny4k5cOufu268mbseXq0iRnbsWyh'}",1aee669caa3966014d8a0282f3a9ae5ab7dffdef7e81e27d55555f4eceb70de8,f9427ca3ed2e311903507c5bc50320b0b22715c4932b7c7d6834157641bd088d
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '2 GB', 'Screen Width': 2052, 'Screen Height': 1047, 'Usable Screen Width': 2052, 'Usable Screen Height': 1047, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",48c0129a866a7ba8c0482de4d9d8e37e9e11618616d18070595ef717aebe96d9,d855914ee55d2ba067637880c57e24c50a55c9607560277da7e1157cf2e44edb,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6ed750e028ed94ef39ce7067df56394c7a573272d73cfa50004b50368671de33,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Chromium portable-document-format Display': 'Rv268mTRIECgQQvAfXq0aseXyZz4cOuf', 'i47dt1D': 'w3jwg3Eh3Eh36GD', 'Chromium Portable Document Format Plugin': 'wBIjRvAny4k5cOm6lSwBAIr0a057lSoU', 'Do7GDBny': 'iwYUxYMGqdOuXLFh'}",0121022b716d282d74a8586155524fc5ac3db34e54f13980ceb7700bc2f35b56,0e6f45d69facf38d9a6a08c84cc2523a4b4e2395ce3fc673e9f094ce55bae9f4
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 2055, 'Screen Height': 1043, 'Usable Screen Width': 2055, 'Usable Screen Height': 1043, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",160b596a424b1e4f831b2373b908efc914a130d2b6049d9a506314db6c837e87,3ae06d34e744399933bfe1cb06e395920f1a7a2dd1dcff33ebaf90238a5bd5e8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,72ea393cd9ff7944c01f87f32dbc811d558ff95cbc7b47cfddf785d25dec90da,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'ECozhYz4': 'XLFhvf2j47lSoct1', 'Chrome PDF Plugin': 'w3j47dt9mb0DgQIMl5k5cWLNGiwYMGi4', 'CgYzCBf': 'Wq0iZMGqVpzZz4k', 'OpenSource com.adobe.pdf Plugin': 'VpzZz4cOm6lSoUSRIMl5k5cOmyCJEKNO'}",d3c077e559ced129376e611d3852e8f448cd50e41f5b106e389c764de931cd4c,d4be48b1c497834a3534c8d691237222e458edcf93d470ec2a69b6969b5ed7d5
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2053, 'Screen Height': 1043, 'Usable Screen Width': 2053, 'Usable Screen Height': 1043, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4fda3e563c62ea03c2acba9e1aa10de9a98c55f00b92299ed42da0b9814a12ef,1fc939c43e643d2cf7562e3270e57b2412f234a03d39d63a6236922a2f2f45f8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,aaf6e01cca0122294e6b4bb1595de52f46ea2e6a2ae65dec6e670aa18de6c758,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Chrome PDF Renderer': 'DBfXq8Hi4FKFh36GLkSoUSRQnbseXyZz', 'Brave document Plugin': 'Omy4cOm6laNlx3bNl5kx3bNtWyZrVxYU', 'Fhvf2jw': 't9eu2EpUKkaNteX', 'RUxYUxgv': '68e2j47d1a0DgQQv'}",edc72fdba6a185c682439326cb34560127cd7295bb5511ab0bed54f4dc2bbc57,d5cf1bd1645ddb47f12e2065379dffb5d611bef204aae8e8a40f3f8c4e814169
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 2050, 'Screen Height': 1043, 'Usable Screen Width': 2050, 'Usable Screen Height': 1043, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4f7659d7d0102e452ae87f5e57355e1b21d3d4c12c8accefac982a1bd36ce8ff,45ed730490a4214ca0ac047bbf2d7fd68219cca99baca4782e9438375712bf1c,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,53430a070f17b78c50e15352c59b185f6eb01a2d6928c4cb3e3a028b50858b56,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Xu2EpUSJ': 'dt1DgYzCJMteXq0a', 'mXToUSR': 'rVxYMOPuf2bNlx3', 'Brave com.adobe.pdf Plugin': '8mTRQv2Epct1Do7GDBfPPm6lSoct9eu2', 'Online Portable Document Format ': 'T0DgQIECozZrVpzZrdWToc1a0DozhQIE'}",799808ac678839e21d5f63661aebc1d3813dd65d6a428ac3a3c705c7d7a05352,94efc90abe8cdd4c8f9a20a798260f636d080d18415307def01330f52b201edd
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 2050, 'Screen Height': 1046, 'Usable Screen Width': 2050, 'Usable Screen Height': 1046, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",38314b5f691ce33a2f7a4a5045e33d7d84210a1674c22067196df1b2bb7c0fec,972f659a4a5c3d470b1deda3ab604b6cdf3fa2318d45c515d949b1a9d97415ef,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,ed1fecc52251caf54797376b01a937ba6e4da99881df019523867b74d8230430,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'JavaScript portable-document-format plug in': 'YUp7GDBfXyZrVp7GDJMl5kx3bVSJr0iR', 'IMteXq8': 'LNGqVxYUxgvXLFh', 'Brave portable-document-format plug in': 'Ks1DozZz4k5k5cWToct1DgYrdWTw3jwY', '3AIjRnTJ': 'FCo78mTJr0iRv2Eh'}",50831b7bd93c70d25d9baa3789437b8b659d19998a1efa4efd5580619cf6c844,7ed3aa56e91a7fc722b29770365c535a1b13240f81de80c0d7d4713064cdaf29
