ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 2400, ""Screen Height"": 1000, ""Usable Screen Width"": 2400, ""Usable Screen Height"": 1000, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",ffa18c9100dd33d3e03276d253acf8e0c1122f1d4eae7e9dac1e15e082b3e897,Not available,0bc1b1b36e1796daab69efe4759c17024098764bdf0c9f96c3d6d41298aca37b,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,user1,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7b2b5d297167cced5514c52b98851a7b126ebe1c22386f2277da17289559fa42
